word,year,transformed_score
self-confident,1990,-290
self-controlled,1990,-140
self-denying,1990,140
self-pitying,1990,200
self-punishing,1990,30
self-seeking,1990,-90
selfish,1990,-110
sensitive,1990,360
sentimental,1990,390
serious,1990,-240
severe,1990,-310
sexy,1990,360
shallow,1990,140
sharp-witted,1990,-180
shiftless,1990,-100
show-off,1990,-170
shrewd,1990,-100
shy,1990,250
silent,1990,80
simple,1990,50
sincere,1990,60
slipshod,1990,-130
slow,1990,0
sly,1990,-100
smug,1990,-140
snobbish,1990,60
sociable,1990,70
soft-hearted,1990,310
sophisticated,1990,220
spendthrift,1990,40
spineless,1990,-20
spontaneous,1990,10
spunky,1990,-130
stable,1990,-210
steady,1990,-200
stern,1990,-340
stingy,1990,-190
stolid,1990,-260
strong,1990,-420
stubborn,1990,-130
submissive,1990,340
suggestible,1990,240
sulky,1990,50
superstitious,1990,370
suspicious,1990,150
sympathetic,1990,230
tactful,1990,30
tactless,1990,-120
talkative,1990,280
temperamental,1990,160
tense,1990,-30
thankless,1990,-160
thorough,1990,-90
thoughtful,1990,30
thrifty,1990,40
timid,1990,250
tolerant,1990,50
touchy,1990,230
tough,1990,-410
trusting,1990,80
unaffected,1990,-220
unambitious,1990,200
unassuming,1990,60
unconventional,1990,-90
undependable,1990,-30
understanding,1990,170
unemotional,1990,-320
unexcitable,1990,-200
unfriendly,1990,-170
uninhibited,1990,-160
unintelligent,1990,180
unkind,1990,-240
unrealistic,1990,150
unscrupulous,1990,-220
unselfish,1990,50
unstable,1990,180
vindictive,1990,10
versatile,1990,-110
warm,1990,230
wary,1990,30
weak,1990,330
whiny,1990,270
wholesome,1990,-70
wise,1990,-270
withdrawn,1990,100
witty,1990,-170
worrying,1990,230
zany,1990,-170
